时戳	批号	经度	维度	深度	航向
20251010190314400	1030	130.155669855824	28.1654721452077	49	45
20251010190344400	1030	130.1573368482645	28.1669399010638	45	45
20251010190414400	1030	130.1589063514427	28.1683282144775	43	48
20251010190444400	1030	130.1605155410418	28.1696097618707	47	47
20251010190514400	1030	130.1622114955173	28.1710284000843	49	47
20251010190544400	1030	130.1640439432004	28.1725459990469	52	50
20251010190614400	1030	130.1661111330899	28.174096496531	57	51
20251010190644400	1030	130.1683775261701	28.1757193173336	59	54
20251010190714400	1030	130.1708046936501	28.1772624670643	60	55
20251010190744400	1030	130.1735300488682	28.1789486185974	60	55
20251010190814400	1030	130.1764832337828	28.1807426315078	59	58
20251010190844400	1030	130.1798118448576	28.1825950473023	61	59
20251010190914400	1030	130.1831765251968	28.1843889732891	67	61
20251010190944400	1030	130.1865961614147	28.186059538785	71	66
20251010191014400	1030	130.1901834459492	28.187488685811	74	68
20251010191044400	1030	130.1938366734406	28.1887816668255	78	70
20251010191114400	1030	130.197534111313	28.189973132492	80	74
20251010191144400	1030	130.2013184563791	28.1909295365304	85	76
20251010191214400	1030	130.2051371717251	28.1917732827563	91	77
20251010191244400	1030	130.2089704000375	28.1925643701811	97	82
20251010191314400	1030	130.2128654482069	28.1930692084873	103	86
20251010191344400	1030	130.2167949729902	28.1932823298049	104	87
20251010191414400	1030	130.2207258832146	28.1934747073388	109	90
20251010191444400	1030	130.2246628439361	28.1934661300136	115	92
20251010191514400	1030	130.2285977561549	28.193353890012	121	94
20251010191544400	1030	130.2325262434011	28.1931262548631	127	98
20251010191614400	1030	130.2364260169738	28.1926504677499	132	100
20251010191644400	1030	130.2403087342713	28.192076550316	137	101
20251010191714400	1030	130.2441793864769	28.1914425768653	144	101
20251010191744400	1030	130.2480500294932	28.1908086687121	151	104
20251010191814400	1030	130.2518770448634	28.1899946756665	157	102
20251010191844400	1030	130.255729867184	28.189281621131	158	101
20251010191914400	1030	130.2595936841903	28.1886165021379	166	99
20251010191944400	1030	130.263476917306	28.1880460765238	167	99
20251010192014400	1030	130.2673662039259	28.1875087610701	172	97
20251010192044400	1030	130.2712709209645	28.18706699323	180	95
20251010192114400	1030	130.2751933869546	28.1867718103853	181	93
20251010192144400	1030	130.2791229744658	28.1865629457289	183	92
20251010192214400	1030	130.2830577104582	28.1864528467687	191	90
20251010192244400	1030	130.286994342663	28.1864304575937	197	88
20251010192314400	1030	130.2909293816978	28.1865316464201	199	85
20251010192344400	1030	130.2948490386792	28.186854333631	200	82
20251010192414400	1030	130.2987464828092	28.1873433099069	200	79
20251010192444400	1030	130.3026082669596	28.1880172265525	200	75
20251010192514400	1030	130.3064098565533	28.1889187112585	200	74
20251010192544400	1030	130.3102005106638	28.1898553875347	200	70
20251010192614400	1030	130.3139050543413	28.1910296720485	200	68
20251010192644400	1030	130.3175629072637	28.1923127218855	200	67
20251010192714400	1030	130.3211776403366	28.1936875191989	200	64
20251010192744400	1030	130.3247268180526	28.1951892294234	200	60
20251010192814400	1030	130.328139697488	28.1969191121619	200	59
20251010192844400	1030	130.3315208415819	28.1986968243768	200	54
20251010192914400	1030	130.3347240974469	28.2007143258487	200	53
20251010192944400	1030	130.3378794199744	28.2027897384396	200	48
20251010193014400	1030	130.3408242146143	28.2050930085556	200	47
20251010193044400	1030	130.3437269782235	28.2074374105793	200	48
20251010193114400	1030	130.3466444877811	28.2097676159515	200	46
20251010193144400	1030	130.3494654478652	28.2121884406355	199	46
20251010193214400	1030	130.3523017848218	28.2145953311049	200	47
20251010193244400	1030	130.3551583670742	28.2169836170634	197	46
20251010193314400	1030	130.3579740151094	28.2194094108657	197	44
20251010193344400	1030	130.3605854411294	28.2217915952035	199	43
20251010193414400	1030	130.3631832078008	28.2242053087449	199	43
20251010193444400	1030	130.3658594957786	28.2267324628723	196	42
20251010193514400	1030	130.3685170013184	28.2292932289797	198	44
20251010193544400	1030	130.3711073607534	28.2316689578596	200	44
20251010193614400	1030	130.3737483692007	28.2340571711188	199	44
20251010193644400	1030	130.3762781432297	28.2363959796082	200	46
20251010193714400	1030	130.3790400931831	28.2387349350746	199	50
20251010193744400	1030	130.3820092890288	28.2409318975562	198	53
20251010193814400	1030	130.3851302933003	28.2429670280864	198	58
20251010193844400	1030	130.3882889291955	28.2447121960734	196	62
20251010193914400	1030	130.3913709685598	28.2461499874592	195	65
20251010193944400	1030	130.3944349710279	28.24741614894	195	66
20251010194014400	1030	130.3975164816595	28.2486235770865	189	70
20251010194044400	1030	130.4004241975267	28.249534270759	185	72
20251010194114400	1030	130.4032665902386	28.2503357552337	178	73
20251010194144400	1030	130.4059757618033	28.2510457158524	172	79
20251010194214400	1030	130.4083282847982	28.2514644573645	168	81
20251010194244400	1030	130.4103288028314	28.2517400433104	166	83
20251010194314400	1030	130.4121833073271	28.2519350163248	158	84
20251010194344400	1030	130.4137499099149	28.2520835545131	156	87
20251010194414400	1030	130.4153236527822	28.2521518925045	153	92
20251010194444400	1030	130.4168987638379	28.2521154283807	147	95
20251010194514400	1030	130.4184681486887	28.2519917357318	142	98
20251010194544400	1030	130.420027922797	28.2517951888272	135	101
20251010194614400	1030	130.4215744933614	28.2515297668713	134	102
20251010194644400	1030	130.42311764625	28.2512493505509	127	102
20251010194714400	1030	130.4246565026332	28.2509511918236	120	105
20251010194744400	1030	130.4261794257394	28.2505951824667	112	105
20251010194814400	1030	130.4276988949092	28.2502279160664	108	104
20251010194844400	1030	130.429224774264	28.2498819038419	104	105
20251010194914400	1030	130.4307433776083	28.2495119014306	98	105
20251010194944400	1030	130.4322647662199	28.2491509041552	89	107
20251010195014400	1030	130.4337691066871	28.2487381883404	83	109
20251010195044400	1030	130.4352591342208	28.2482869919943	80	111
20251010195114400	1030	130.4367325551792	28.247795308845	73	111
20251010195144400	1030	130.4382061130769	28.2473039600648	65	111
20251010195214400	1030	130.439679211886	28.2468115599613	58	110
20251010195244400	1030	130.4411559925021	28.2463278099204	54	107
20251010195314400	1030	130.4426593925641	28.2459125553721	50	107
20251010195344400	1030	130.444166476776	28.2455078138538	45	108
20251010195414400	1030	130.4456685714256	28.2450889414777	40	104
20251010195444400	1030	130.4471968416802	28.2447514751004	33	101
20251010195514400	1030	130.4487422904458	28.2444814835653	30	99
20251010195544400	1030	130.4502974169689	28.2442587742323	26	99
20251010195614400	1030	130.4518535524429	28.2440416210703	25	94
20251010195644400	1030	130.4534256038015	28.2439493729511	24	89
20251010195714400	1030	130.4550010726833	28.243961965486	20	89
20251010195744400	1030	130.4565762620911	28.2439909890238	19	88
20251010195814400	1030	130.4581503106796	28.2440512514372	14	86
