时戳	批号	经度	维度	深度	航向
20251010190314400	1010	130.1573397116429	28.1669442904158	49	51
20251010190414400	1010	130.1609405301631	28.1695074825566	47	52
20251010190514400	1010	130.1643663845203	28.1718740989897	49	52
20251010190614400	1010	130.1682232512684	28.1745374144259	51	57
20251010190714400	1010	130.172489018436	28.1770019678368	52	57
20251010190814400	1010	130.1767598200773	28.1794347951197	53	59
20251010190914400	1010	130.1809203610105	28.1816023066193	53	59
20251010191014400	1010	130.1853383955252	28.1839872430353	54	57
20251010191114400	1010	130.189506381344	28.1863808694956	55	58
20251010191214400	1010	130.1937668265581	28.1887042342741	58	58
20251010191314400	1010	130.1978957995944	28.1909627683405	60	57
20251010191414400	1010	130.202258939402	28.193477829042	60	58
20251010191514400	1010	130.2061978361155	28.195670294588	63	59
20251010191614400	1010	130.2102323916695	28.1977819689535	65	62
20251010191714400	1010	130.2144837701967	28.1997824863796	67	61
20251010191814400	1010	130.2187216486826	28.2018177072011	68	59
20251010191914400	1010	130.2231582388144	28.2041728661165	71	61
20251010192014400	1010	130.2279332382907	28.206458922167	75	60
20251010192114400	1010	130.2323607530097	28.2086965205663	66	35
20251010192214400	1010	130.235226616261	28.2123188803862	64	27
20251010192314400	1010	130.2372250410223	28.215828868003	59	308
20251010192414400	1010	130.2359767249878	28.2166753013125	32	313
20251010192514400	1010	130.2333513000986	28.2188231651095	22	337
20251010192614400	1010	130.2306851306598	28.2243478478273	10	74
20251010192714400	1010	130.2341262085894	28.225191765866	41	115
20251010192814400	1010	130.2426649969734	28.2216213479504	34	90
20251010192914400	1010	130.2451097753429	28.22162561228	30	147
20251010193014400	1010	130.2474964842208	28.2183552914603	27	133
20251010193114400	1010	130.2503194147044	28.216015440951	62	164
20251010193214400	1010	130.250943957776	28.2140942515754	54	246
20251010193314400	1010	130.2495076349543	28.2135246099697	48	239
20251010193414400	1010	130.2481594892449	28.2128068875289	41	227
20251010193514400	1010	130.2465087048187	28.211452669872	34	141
20251010193614400	1010	130.2474913668515	28.2103679697195	40	120
20251010193714400	1010	130.2514580963653	28.2083450219002	28	91
20251010193814400	1010	130.2583270899075	28.2082507789714	54	40
20251010193914400	1010	130.2597384608503	28.2097131169039	61	56
20251010194014400	1010	130.2632075968648	28.2117448529767	74	16
20251010194114400	1010	130.2636527022173	28.2130762304776	83	340
20251010194214400	1010	130.2604719555347	28.2209180889743	63	319
20251010194314400	1010	130.2562717437921	28.2252169500295	111	306
20251010194414400	1010	130.2505716963823	28.2288710136112	125	360
20251010194514400	1010	130.2505691283624	28.2325971130827	119	94
20251010194614400	1010	130.2588665323662	28.2320602564486	175	108
20251010194714400	1010	130.2654235050892	28.2302022163758	200	53
20251010194814400	1010	130.2685873952534	28.2322793509946	200	92
20251010194914400	1010	130.2714158489714	28.2321837819473	200	208
20251010195014400	1010	130.2693973483419	28.2288547196819	200	176
20251010195114400	1010	130.2695060448641	28.227470075835	200	94
20251010195214400	1010	130.2725660703652	28.2272970549682	200	67
20251010195314400	1010	130.275818192491	28.2285236251678	176	56
20251010195414400	1010	130.2788365443914	28.2303230923531	165	38
20251010195514400	1010	130.280742683808	28.2324532930731	165	42
20251010195614400	1010	130.282837217207	28.2345145680695	149	41
20251010195714400	1010	130.2850359517547	28.2367642213318	149	37
20251010195814400	1010	130.2868965609027	28.2389618620847	146	42
20251010195914400	1010	130.2900221484262	28.242022469334	143	44
20251010200014400	1010	130.2927633662499	28.244565756472	134	40
20251010200114400	1010	130.2950223930328	28.2469471426156	135	44
20251010200214400	1010	130.2979581462517	28.2496474255567	131	50
