时戳	批号	经度	维度	深度	航向
20251010190314400	1010	130.155669855824	28.1654721452077	50	43
20251010190344400	1010	130.1574533943561	28.1671785251777	50	44
20251010190414400	1010	130.1588392996441	28.1684368142856	50	47
20251010190444400	1010	130.1605676539477	28.1698508683463	49	51
20251010190514400	1010	130.1626332761689	28.1713321657529	48	50
20251010190544400	1010	130.1641578720022	28.1724584869383	48	56
20251010190614400	1010	130.1660295368892	28.1735621560199	48	64
20251010190644400	1010	130.1677945177059	28.174334201536	52	72
20251010190714400	1010	130.1704041915638	28.1750736360222	51	82
20251010190744400	1010	130.1726503998464	28.175354854055	51	82
20251010190814400	1010	130.1752088737201	28.1756820257197	49	94
20251010190844400	1010	130.1777515546557	28.1755358451938	50	93
20251010190914400	1010	130.1797623044856	28.1754305164341	51	93
20251010190944400	1010	130.1824130504481	28.1753223658732	52	108
20251010191014400	1010	130.1845980460873	28.1747047200644	53	124
20251010191044400	1010	130.1867619340502	28.1734236569596	50	141
20251010191114400	1010	130.1884643921179	28.1715752593689	47	145
20251010191144400	1010	130.1896497327486	28.1700927361978	44	144
20251010191214400	1010	130.1911670175006	28.1682197381589	46	164
20251010191244400	1010	130.1919026507087	28.165950432083	48	166
20251010191314400	1010	130.1924266013208	28.1640821925216	48	165
20251010191344400	1010	130.1929873589932	28.1622700493256	50	178
20251010191414400	1010	130.1930708828841	28.1604455553966	49	175
20251010191444400	1010	130.1932824749587	28.1581994775788	50	198
20251010191514400	1010	130.1924578237622	28.1559712866237	45	198
20251010191544400	1010	130.1917387491255	28.1539744850432	45	221
20251010191614400	1010	130.1903197534944	28.1525523488863	47	229
20251010191644400	1010	130.1883677665988	28.1510600381218	47	232
20251010191714400	1010	130.1866581532375	28.1498680720527	48	237
20251010191744400	1010	130.184924453408	28.1488635463638	51	224
20251010191814400	1010	130.1832589910399	28.1473349074596	54	222
20251010191844400	1010	130.1816225489465	28.1457217808911	48	222
20251010191914400	1010	130.1800693399435	28.1442238184602	51	222
20251010191944400	1010	130.1785477941671	28.1427105711255	51	223
20251010192014400	1010	130.1770616209989	28.1413054330708	49	214
20251010192044400	1010	130.1757767117602	28.139614915334	45	212
