时戳	批号	经度	维度	深度	航向
20251010190314400	1010	130.155669855824	28.1654721452077	50	52
20251010190344400	1010	130.1576605533473	28.1668508757377	51	53
20251010190414400	1010	130.1595524936894	28.1680882196702	50	55
20251010190444400	1010	130.1613205766892	28.1691831406776	52	56
20251010190514400	1010	130.1631848629449	28.1702983598884	54	57
20251010190544400	1010	130.1652674641624	28.1714881668826	55	60
20251010190614400	1010	130.1673495960036	28.1725331518761	58	60
20251010190644400	1010	130.1692822208767	28.1735018380639	59	58
20251010190714400	1010	130.1712987373103	28.1746161492091	60	61
20251010190744400	1010	130.1736066043719	28.1757519060516	62	59
20251010190814400	1010	130.1755592833746	28.1767899834317	63	60
20251010190844400	1010	130.1776872811164	28.1778608486198	66	61
20251010190914400	1010	130.179916715315	28.1789355020605	66	63
20251010190944400	1010	130.1821374390625	28.1799333734655	69	62
20251010191014400	1010	130.1843947887048	28.1810068306984	71	59
20251010191044400	1010	130.1864977273842	28.1821179220423	73	60
20251010191114400	1010	130.1888434126951	28.1833294754824	73	60
20251010191144400	1010	130.191226874824	28.1845466495225	75	61
20251010191214400	1010	130.19359890702	28.1857028029462	79	59
20251010191244400	1010	130.1957722112988	28.1868440685148	81	57
20251010191314400	1010	130.197970703137	28.1880864096952	86	57
20251010191344400	1010	130.2001081770916	28.1892935564153	89	58
20251010191414400	1010	130.2023158593227	28.190497640977	93	61
20251010191444400	1010	130.2046420315559	28.1916417265551	96	60
20251010191514400	1010	130.2068380828531	28.1927724312917	99	58
20251010191544400	1010	130.2090981177766	28.1940404163651	102	56
20251010191614400	1010	130.2112486231931	28.1953278496177	104	57
20251010191644400	1010	130.2136426653196	28.1966961798513	105	58
20251010191714400	1010	130.2160483844257	28.1980201103233	106	57
20251010191744400	1010	130.2183616924117	28.1993664109967	111	56
20251010191814400	1010	130.2204148225665	28.2005935276722	116	56
20251010191844400	1010	130.222571398259	28.2018619403309	120	56
20251010191914400	1010	130.224783137566	28.2031822255081	122	57
20251010191944400	1010	130.2271389929893	28.2045108501824	127	58
20251010192014400	1010	130.2292745723718	28.2057004676029	132	56
20251010192044400	1010	130.2314100650587	28.2069622924562	133	59
20251010192114400	1010	130.2336746801886	28.208170382995	147	0
20251010192144400	1010	130.2336808485074	28.2094545586124	197	312
20251010192214400	1010	130.232470179813	28.2104233350444	200	189
20251010192244400	1010	130.232344390672	28.2097382690835	200	147
20251010192314400	1010	130.2327752295633	28.2091573586775	200	170
20251010192344400	1010	130.2332533990341	28.206860667948	145	74
20251010192414400	1010	130.237352449832	28.2078907260935	161	63
20251010192444400	1010	130.2386538104157	28.2084642428821	163	88
20251010192514400	1010	130.2409604823913	28.2085334859761	108	120
20251010192544400	1010	130.2434486529708	28.2072788751981	91	218
20251010192614400	1010	130.2429619713449	28.2067332927244	85	239
20251010192644400	1010	130.2410863657994	28.2057579214382	76	323
20251010192714400	1010	130.2402471216131	28.206751278289	10	7
20251010192744400	1010	130.2406189874345	28.20952987988	16	53
20251010192814400	1010	130.2440058868521	28.2118194979236	10	49
20251010192844400	1010	130.2475905874549	28.2145323006699	32	59
20251010192914400	1010	130.2516266015071	28.2166977610141	10	50
20251010192944400	1010	130.2523707381249	28.2172459334568	10	50
20251010193014400	1010	130.2560127748471	28.2198989676413	10	36
20251010193044400	1010	130.2582812961433	28.2226579101491	10	353
20251010193114400	1010	130.2576700801328	28.2267867905415	10	315
20251010193144400	1010	130.2556167011268	28.2285886478031	10	263
20251010193214400	1010	130.2542232737176	28.228446430628	10	229
20251010193244400	1010	130.251712261234	28.2265473978261	10	105
20251010193314400	1010	130.2524734423648	28.2263690407357	10	63
20251010193344400	1010	130.2566731526919	28.2282783420729	10	47
20251010193414400	1010	130.2601384552734	28.2311095639409	10	330
20251010193444400	1010	130.2592429385777	28.2324661504646	59	278
20251010193514400	1010	130.2584100411288	28.2325646142796	76	248
20251010193544400	1010	130.2555319511558	28.2315403494936	85	289
20251010193614400	1010	130.2540758533353	28.2319788097756	86	262
20251010193644400	1010	130.2510144332631	28.2315918235308	164	330
20251010193714400	1010	130.2503067005961	28.2326664988896	200	14
20251010193744400	1010	130.250791538516	28.2344371921054	200	56
20251010193814400	1010	130.2523705474786	28.2353619662125	200	46
20251010193844400	1010	130.2535778663159	28.2363947714163	200	92
20251010193914400	1010	130.2543652254409	28.2363740285049	200	120
20251010193944400	1010	130.2550492427775	28.2360298630388	200	115
20251010194014400	1010	130.2565220169129	28.2354163363696	177	165
20251010194044400	1010	130.2575052829359	28.232192549929	200	49
20251010194114400	1010	130.2585688516979	28.2330198936262	200	94
20251010194144400	1010	130.2594655210845	28.2329692038126	200	103
20251010194214400	1010	130.2602315395474	28.2328075528765	194	1
20251010194244400	1010	130.2602448589769	28.2335014295599	182	317
20251010194314400	1010	130.257750573508	28.2358645265784	186	276
20251010194344400	1010	130.2559438527432	28.2360360584375	195	269
20251010194414400	1010	130.2551561898173	28.2360285992045	177	328
20251010194444400	1010	130.2543592024545	28.2371405169432	173	321
20251010194514400	1010	130.2533257207459	28.2382705779636	163	339
