时戳	批号	经度	维度	深度	航向
20251010190314400	1050	130.1573193374851	28.1632471459712	71	104
20251010190344400	1050	130.1606321749765	28.1616840463045	67	118
20251010190414400	1050	130.1640545538839	28.1608946190984	74	105
20251010190444400	1050	130.1644532988748	28.1621858579192	28	15
20251010190514400	1050	130.1650237020893	28.1639897534524	32	16
20251010190544400	1050	130.1654831906504	28.1655722415675	27	14
20251010190614400	1050	130.1691230433879	28.1647704070332	66	104
20251010190644400	1050	130.1726331770915	28.1639335990422	71	105
20251010190714400	1050	130.1751741711855	28.1617601350028	66	134
20251010190744400	1050	130.1756251356931	28.1633220903496	26	14
20251010190814400	1050	130.1760518093364	28.1647563745605	33	15
20251010190844400	1050	130.1766402830538	28.1666768261332	33	15
20251010190914400	1050	130.1803506088166	28.1658504140018	67	104
20251010190944400	1050	130.1838888359446	28.1650103909338	68	105
20251010191014400	1050	130.18770390639	28.1641232725512	75	105
20251010191044400	1050	130.1881235645983	28.1655466100839	33	15
20251010191114400	1050	130.1885642520761	28.1669049051756	28	16
20251010191144400	1050	130.1889726795326	28.1683486149477	27	14
20251010191214400	1050	130.1926611336272	28.1674274972629	71	106
20251010191244400	1050	130.1958307384955	28.1666601985718	67	105
20251010191314400	1050	130.199285974857	28.1658021210236	68	106
20251010191344400	1050	130.2007505945495	28.1671397730795	24	44
20251010191414400	1050	130.201309443633	28.1684431101486	27	21
20251010191444400	1050	130.2017971882183	28.1700677918862	30	15
20251010191514400	1050	130.2051846642958	28.1692400474656	70	105
20251010191544400	1050	130.208740011582	28.168347430757	84	106
20251010191614400	1050	130.2122209676085	28.1675195330347	71	105
20251010191644400	1050	130.2127879672566	28.1692982973923	25	16
20251010191714400	1050	130.2132791788781	28.1709018561794	31	15
20251010191744400	1050	130.2138429015618	28.1727924135746	32	15
20251010191814400	1050	130.2173264374353	28.1719273278346	69	106
20251010191844400	1050	130.2212688701805	28.1710254494924	74	105
20251010191914400	1050	130.22516213591	28.1700554594774	67	106
20251010191944400	1050	130.228449068247	28.1692809759552	65	105
20251010192014400	1050	130.2288775894976	28.1706761685868	32	15
20251010192044400	1050	130.2292393052675	28.1722434673429	29	11
20251010192114400	1050	130.2327362181618	28.171391725199	67	105
20251010192144400	1050	130.236370299368	28.1705667332972	66	104
20251010192214400	1050	130.2400949162777	28.1696724535332	69	105
20251010192244400	1050	130.2406882053947	28.1715017212479	28	16
20251010192314400	1050	130.2411132416556	28.1729260517057	25	15
20251010192344400	1050	130.241572958946	28.1744655358642	18	15
20251010192414400	1050	130.2450623005955	28.1736297523535	76	105
20251010192444400	1050	130.2485110450398	28.1727676076106	67	106
20251010192514400	1050	130.2523845502715	28.171874329056	74	105
20251010192544400	1050	130.2561928433196	28.1710165835561	49	104
20251010192614400	1050	130.2567127722641	28.1726643491935	31	16
20251010192644400	1050	130.257259573481	28.1744918755708	34	15
20251010192714400	1050	130.2611818696042	28.1735623201485	67	105
20251010192744400	1050	130.2645714182372	28.1727853735405	70	105
20251010192814400	1050	130.2682476250697	28.1719150710117	71	105
20251010192844400	1050	130.2689456049435	28.1731063990569	35	27
20251010192914400	1050	130.2693431936085	28.17445735454	34	15
20251010192944400	1050	130.2697928926819	28.1763849432927	33	12
20251010193014400	1050	130.2731431934229	28.1756025259772	66	105
20251010193044400	1050	130.2770382412156	28.1746714000136	73	105
20251010193114400	1050	130.2809813320341	28.1737595020243	68	105
20251010193144400	1050	130.2847365804475	28.1728223645906	70	106
20251010193214400	1050	130.2852234349114	28.1744956307699	29	14
20251010193244400	1050	130.2857356661684	28.1762484635997	25	14
20251010193314400	1050	130.2897417139071	28.1752805092965	72	105
20251010193344400	1050	130.2928953957388	28.1739834272446	66	115
20251010193414400	1050	130.2961875931923	28.1731849017591	75	105
20251010193444400	1050	130.2966915965649	28.1748735209556	25	15
20251010193514400	1050	130.2972002737627	28.1765702194629	29	15
20251010193544400	1050	130.2976326995476	28.1780488990575	25	14
20251010193614400	1050	130.2981437092112	28.1796215978888	32	16
20251010193644400	1050	130.3018044696213	28.1787119766649	69	106
20251010193714400	1050	130.3056158274782	28.1778718743921	69	104
20251010193744400	1050	130.309123029959	28.1770785084712	66	104
20251010193814400	1050	130.3104474790014	28.1783831967169	34	42
20251010193844400	1050	130.311012795008	28.1802735098097	34	15
20251010193914400	1050	130.3143607349573	28.1795137052413	73	104
20251010193944400	1050	130.3176752154303	28.1787356332972	71	105
20251010194014400	1050	130.3222176228756	28.1796353388397	69	77
20251010194044400	1050	130.3227135087592	28.1813825731609	33	14
20251010194114400	1050	130.3231154261721	28.1827792270673	26	14
20251010194144400	1050	130.3235835008794	28.1843946253707	29	14
20251010194214400	1050	130.3270082543643	28.1836073451967	66	105
20251010194244400	1050	130.3303125930929	28.1828412177466	66	105
20251010194314400	1050	130.3338118011994	28.1829829171825	70	87
20251010194344400	1050	130.3375214412098	28.182141750883	73	104
20251010194414400	1050	130.3379267217478	28.1835687089918	25	14
20251010194444400	1050	130.338462428434	28.1852799536344	33	15
20251010194514400	1050	130.3421737151807	28.1843850560201	72	105
20251010194544400	1050	130.3458087066284	28.1852130106292	72	76
20251010194614400	1050	130.3490918471624	28.1844044944598	70	106
20251010194644400	1050	130.3494950315065	28.1857321751404	32	15
20251010194714400	1050	130.3500491075244	28.1874384440784	25	16
20251010194744400	1050	130.3504446924201	28.1887304684636	34	15
20251010194814400	1050	130.3509109805334	28.1903201435767	29	14
20251010194844400	1050	130.3547867576267	28.1894103578029	69	105
20251010194914400	1050	130.358486471532	28.1885395885649	74	105
20251010194944400	1050	130.3622295408998	28.1876475489058	67	105
20251010195014400	1050	130.3627015291348	28.1892345023152	36	15
20251010195044400	1050	130.3629000562926	28.191207259815	30	5
20251010195114400	1050	130.3668698727837	28.1902224749186	75	106
20251010195144400	1050	130.3702116556029	28.1894052467177	66	106
20251010195214400	1050	130.3735481307951	28.1886144362342	65	105
20251010195244400	1050	130.3740932759295	28.1904052981933	25	15
20251010195314400	1050	130.3746272002199	28.1920640816305	35	16
20251010195344400	1050	130.3750448295635	28.1934459014365	29	15
20251010195414400	1050	130.3781277626138	28.1927379633901	72	105
20251010195444400	1050	130.3816917344857	28.191873231977	68	105
